2021-03-17,20:29:57,3-17,445,190
2021-03-16,20:23:18,3-16,213,78
2021-03-16,16:44:12,3.0---gray,161,145
2021-03-16,16:24:12,3.0,230,234
2021-03-16,16:17:35,recook-weapp3.0,233,226
2021-03-15,20:03:36,3-15,935,623
2021-03-12,17:31:40,3-12,333,261
2021-03-11,19:58:02,3-11,747,324
2021-03-10,19:58:44,3-10,1464,81
2021-03-09,19:59:45,3-9,730,173
2021-03-08,20:27:44,3-8,1017,556
2021-03-05,17:56:46,3-6,file,1
2021-03-05,17:55:37,3-5,463,32
2021-03-04,20:33:02,3-4,622,275
2021-03-03,19:40:50,3-3,972,5184
2021-03-03,09:23:04,3-3,5502,663
2021-03-01,20:30:00,3-1,46,27
2021-03-01,19:32:50,gra3-1,9,10
2021-03-01,19:27:40,Gray3-1,48,21
2021-03-01,15:14:14,01,42,11
2021-02-07,18:09:44,2.7,12,9
2021-02-05,18:30:18,2.5,284,40
2021-02-04,18:01:05,2.4,16,3
2021-02-02,18:05:40,last,232,85
2021-02-01,17:57:05,01,502,429
